,zipcode,state,target_clean,total_schools,has_preschool,has_elementary_school,has_middle_school,has_highschool,best_preschool_rating,best_elementary_school_rating,best_middle_school_rating,best_highschool_rating,preschool_distance,elementary_school_distance,middle_school_distance,highschool_distance,pool,sqft_clean,beds_clean,baths_int,has_half_bath,stories_int,is_split_level,fireplaces,has_firepit,heating_forced_air,heating_gas,heating_electric,heating_heat_pump,heating_oil,heating_baseboard,heating_radiant,heating_hot_water_steam,heating_central,heating_other,no_heating,cooling_central,cooling_heat_pump,cooling_evaporative,cooling_window_wall,cooling_fans,cooling_zoned,cooling_other,cooling_no,parking_garage,parking_carport,parking_driveway,parking_off_street,parking_other,parking_spaces,was_remodeled,city_clean,is_foreclosure,type_lot_land,type_single_family,type_condo,type_traditional,type_townhouse,type_multi_family,type_coop,type_mobile_manufactured,type_apartment,type_penthouse,type_farm_ranch,type_other,lotsize_clean,type_sum,house_age,is_new_construction,is_historical,best_preschool_rating_missing,best_elementary_school_rating_missing,best_middle_school_rating_missing,best_highschool_rating_missing
2042,38122,TN,179000.0,6,1,1,1,1,6.0,6.0,8.0,3.0,1.0,1.0,3.75,1.01,1,1663.0,2.0,2.0,0,2.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,memphis,0,0,1,0,0,0,0,0,0,0,0,0,0,1133.0,1,56.0,0,0,0,0,0,0
2043,78222,TX,201995.0,3,1,1,1,1,2.0,3.0,2.0,3.0,0.3,5.6,1.9,5.6,0,2088.0,3.0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,san antonio,0,0,1,0,0,0,0,0,0,0,0,0,0,2088.0,1,7.0,1,0,0,0,0,0
2044,11355,NY,418000.0,3,0,1,1,1,0.0,9.0,8.0,3.0,100.0,0.24,0.28,1.03,0,1100.0,2.0,,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flushing,0,0,0,0,0,0,0,1,0,0,0,0,0,82764.0,1,71.0,0,0,0,0,0,0
2045,32226,FL,498888.0,3,0,1,1,1,0.0,7.0,4.0,4.0,100.0,4.8,5.6,4.4,1,3631.0,3.0,3.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,jacksonville,0,0,1,0,0,0,0,0,0,0,0,0,0,59677.0,1,28.0,0,0,0,0,0,0
2046,44108,OH,60000.0,63,1,1,1,1,8.0,8.0,8.0,6.0,6.85,6.85,6.85,6.81,0,1654.0,5.0,3.0,0,3.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,cleveland,0,0,1,0,0,0,0,0,0,0,0,0,0,3500.0,1,116.0,0,1,0,0,0,0
2047,91367,CA,1849900.0,3,0,1,1,1,0.0,9.0,8.0,7.0,100.0,0.33,0.44,0.48,1,4590.0,4.0,4.0,0,1.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,woodland hills,0,0,1,0,0,0,0,0,0,0,0,0,0,27007.0,1,29.0,0,0,0,0,0,0
2048,32226,FL,279900.0,3,1,1,1,1,9.0,9.0,4.0,4.0,1.0,1.0,3.4,2.6,0,2883.0,4.0,3.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,jacksonville,0,0,1,0,0,0,0,0,0,0,0,0,0,16553.0,1,20.0,0,0,0,0,0,0
2049,76179,TX,249900.0,3,1,1,1,1,8.0,8.0,5.0,6.0,0.5,0.5,0.2,1.4,0,2197.0,3.0,2.0,0,1.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,fort worth,0,0,1,0,0,0,0,0,0,0,0,0,0,5880.0,1,14.0,0,0,0,0,0,0
2050,19125,PA,700000.0,2,0,1,1,1,0.0,4.0,4.0,1.0,100.0,0.2,0.2,0.13,0,1346.0,2.0,3.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,philadelphia,0,0,0,0,0,1,0,0,0,0,0,0,0,1346.0,1,111.0,0,1,0,0,0,0
2051,33309,FL,258609.0,3,1,1,1,1,4.0,4.0,4.0,2.0,1.0,1.0,2.5,2.1,0,1201.0,4.0,2.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,oakland park,0,0,1,0,0,0,0,0,0,0,0,0,0,7032.0,1,53.0,0,0,0,0,0,0
